User,Location,Text,sentiment,probability
clradiocom,Chile,"#CineyTV Tráiler de ""Expediente Warren: Obligado por el demonio"" #VeraFarmiga #ElConjuro #ExpedienteWarren… https://t.co/JaorDXvWWw",Positivo,63
yo_kevinazo,,"No sé si aquí me van a vacunar o a exorcizarme el espíritu del subdesarrollo. 
#abdala #elconjuro https://t.co/UAnJMmfmBV",Positivo,60
CinafilmEspanol,"Birmingham, England","El conjuro (2013) - Leer 1,149 Críticas de Películas 
Enlace: https://t.co/ut7B1AYMsL 
#ElConjuro #PeliCritica",Positivo,66
RED92cadadiamas,La Plata - Buenos Aires - ARG,"😰📽🎞 | #Warren | #ElConjuro | #TheConjuring | #TheWarrenFiles | @TheConjuring | 

Mirá las primeras y aterradoras im… https://t.co/uLxGGXdCMO",Positivo,65
Moni_Buenfil,"Irapuato, Guanajuato",Participa en el sorteo #ElConjuro @acme_vlogs https://t.co/ndOcGaOflu,Positivo,68
RevistaRayas,"Puebla, México","😱🤩 ¡Morimos de miedo y de ganas de verla! 

Aquí está lo nuevo de #ElConjuro 

https://t.co/afsNlcWvYc
Vía: @yonadi18",Positivo,63
PactoCopernico,La Plata,"Ayer, en @PactoCopernico el querido @RodrigoGF75 nos adelanto todo sobre el caso real detrás de #ElConjuro 3

Reviv… https://t.co/Xi3IlUNByl",Positivo,64
Hernan_moyano,La Plata,"Ayer, en @PactoCopernico el querido @RodrigoGF75 nos adelanto todo sobre el caso real detrás de #ElConjuro 3

Reviv… https://t.co/flryOVnh7G",Positivo,64
clradiocom,Chile,"#CineyTV Tráiler de ""Expediente Warren: Obligado por el demonio"" #VeraFarmiga #ElConjuro #ExpedienteWarren… https://t.co/eT8sAiYGfd",Positivo,63
DoppelgangerEl,,En minutos les cuento mis apreciaciones sobre la próxima miniserie que DC Comics publicará y con la cual comenzará… https://t.co/u161LRjeo6,Positivo,71
culturageek,Buenos Aires,"#Comics #Cine #DCComics #TheConjuring
-
#ElConjuro: The Lover, el cómic de #DC que está dentro de la saga cinematog… https://t.co/4TC4cZ5wtV",Positivo,69
t23augusto,Buenos Aires,"#Comics #Cine #DCComics #TheConjuring
-
#ElConjuro: The Lover, el cómic de #DC que está dentro de la saga cinematog… https://t.co/ECJ4t6XUXX",Positivo,69
CinafilmEspanol,"Birmingham, England","El conjuro (2013) - Leer 1,149 Críticas de Películas 
Enlace: https://t.co/ut7B1AYMsL 
#ElConjuro #PeliCritica",Positivo,66
clradiocom,Chile,"#CineyTV Tráiler de ""Expediente Warren: Obligado por el demonio"" #VeraFarmiga #ElConjuro #ExpedienteWarren… https://t.co/7cTDYB2JSH",Positivo,63
